Date,Price,Open,High,Low,Vol.,Change %
"Aug 13, 2018","27,867.00","28,221.00","28,266.00","27,704.00",201.64K,-1.23%
"Aug 10, 2018","28,213.00","28,536.00","28,646.00","28,173.00",174.99K,-1.11%
"Aug 09, 2018","28,531.00","28,226.00","28,659.00","28,060.00",207.74K,1.05%
"Aug 08, 2018","28,234.00","28,218.00","28,374.00","28,142.00",187.09K,0.11%
"Aug 07, 2018","28,204.00","27,720.00","28,234.00","27,701.00",208.78K,1.72%
"Aug 06, 2018","27,728.00","27,609.00","28,016.00","27,609.00",217.63K,0.42%
"Aug 03, 2018","27,613.00","27,581.00","27,758.00","27,444.00",201.31K,0.03%
"Aug 02, 2018","27,605.00","28,284.00","28,334.00","27,500.00",245.58K,-2.44%
"Aug 01, 2018","28,295.00","28,450.00","28,828.00","28,163.00",214.39K,-0.49%
"Jul 31, 2018","28,433.00","28,679.00","28,793.00","28,423.00",173.58K,-0.74%
"Jul 30, 2018","28,644.00","28,715.00","28,837.00","28,582.00",29.41K,-0.30%
"Jul 27, 2018","28,729.00","28,745.00","28,836.00","28,587.00",170.08K,-0.05%
"Jul 26, 2018","28,743.00","28,912.00","29,113.00","28,616.00",239.32K,-0.57%
"Jul 25, 2018","28,909.00","28,645.00","28,973.00","28,645.00",216.58K,0.93%
"Jul 24, 2018","28,643.00","28,212.00","28,713.00","28,164.00",187.23K,1.54%
"Jul 23, 2018","28,209.00","28,238.00","28,382.00","28,019.00",223.83K,-0.05%
"Jul 20, 2018","28,224.00","28,026.00","28,299.00","27,732.00",251.67K,0.66%
"Jul 19, 2018","28,039.00","28,087.00","28,315.00","27,954.00",192.11K,-0.14%
"Jul 18, 2018","28,077.00","28,208.00","28,410.00","28,012.00",204.55K,-0.41%
"Jul 17, 2018","28,194.00","28,513.00","28,534.00","28,121.00",186.60K,-1.11%
"Jul 16, 2018","28,510.00","28,548.00","28,702.00","28,300.00",200.19K,-0.17%
"Jul 13, 2018","28,558.00","28,500.00","28,769.00","28,460.00",170.94K,0.25%
"Jul 12, 2018","28,487.00","28,295.00","28,632.00","28,162.00",203.61K,0.70%
"Jul 11, 2018","28,288.00","28,619.00","28,699.00","27,892.00",241.93K,-1.27%
